gender,race,income,education,label_value,model_prediction
Male,Black,77134,Masters,1,0
Female,Asian,40491,PhD,1,1
Male,White,21341,Bachelors,0,0
Male,White,64623,Bachelors,1,1
Male,White,20338,High School,0,0
Female,White,91431,High School,1,0
Male,Hispanic,32254,PhD,1,0
Male,White,71860,Masters,1,0
Male,Hispanic,31344,PhD,0,1
Female,Hispanic,21750,PhD,1,0
Male,White,74756,PhD,1,1
Male,White,87957,PhD,1,1
Male,Black,78053,Bachelors,0,1
Male,Asian,90855,Masters,0,1
Female,White,35896,Bachelors,1,0
Male,Black,75761,Masters,0,0
Female,Black,82552,High School,1,1
Female,Asian,97454,PhD,1,0
Female,Hispanic,47935,Bachelors,1,1
Male,White,57641,Masters,1,0
Female,Asian,49711,High School,1,1
Male,White,90342,High School,0,1
Female,Black,32182,PhD,0,1
Female,Black,76276,Masters,0,1
Female,Hispanic,39541,Bachelors,0,1
Female,Black,64813,PhD,1,1
Female,Black,57198,Bachelors,1,1
Female,Asian,28820,High School,1,0
Female,White,44070,Bachelors,1,0
Female,White,89768,Bachelors,1,0
Male,Asian,31122,PhD,1,1
Male,Hispanic,93543,Bachelors,1,0
Female,White,61786,PhD,1,1
Female,Black,26737,High School,0,1
Female,White,56062,PhD,0,1
Male,Black,74237,PhD,0,1
Female,Hispanic,71571,Masters,1,0
Male,Asian,45510,Bachelors,1,1
Male,White,39426,High School,0,1
Male,Asian,57265,PhD,0,0
Male,White,37850,High School,1,0
Male,Black,86150,Masters,0,1
Female,Asian,94910,Bachelors,0,1
Female,White,72375,PhD,1,0
Female,Black,55435,Bachelors,0,1
Female,Asian,77132,Masters,0,1
Female,Asian,98945,Masters,1,0
Male,White,22983,High School,1,1
Female,White,40662,PhD,1,1
Female,White,43510,High School,0,1
Male,Black,98187,Masters,0,1
Female,White,60998,Bachelors,0,0
Male,Asian,76846,High School,1,0
Female,Asian,26640,High School,1,0
Male,White,64547,Bachelors,0,0
Female,White,74620,High School,1,0
Female,Hispanic,35317,Bachelors,0,1
Male,Asian,27564,PhD,0,1
Male,Black,47345,Bachelors,0,1
Male,Hispanic,99273,PhD,0,1
Male,White,94859,Bachelors,1,1
Male,White,94038,Masters,1,0
Male,Asian,72393,Masters,0,0
Male,White,86081,PhD,1,1
Male,Black,49430,PhD,0,1
Female,Asian,95532,Masters,1,0
Female,White,47788,PhD,1,1
Male,Asian,68543,Bachelors,0,0
Female,White,33919,Bachelors,1,1
Female,White,89346,Masters,0,1
Female,White,59974,High School,0,1
Female,Black,36371,Bachelors,0,1
Male,Black,65084,PhD,1,1
Female,Asian,49629,High School,1,1
Male,White,71184,High School,0,1
Female,White,81916,Bachelors,1,1
Female,Black,93972,Bachelors,1,1
Female,White,82187,High School,1,0
Male,Black,32984,High School,1,0
Female,White,53039,Masters,1,1
Male,Asian,78606,PhD,0,0
Female,White,30616,Masters,0,0
Male,White,70072,Bachelors,1,1
Female,Hispanic,44574,Masters,0,1
Male,Black,23430,Masters,1,1
Male,White,32676,Masters,1,0
Female,White,30816,Masters,0,0
Male,Hispanic,52733,PhD,0,0
Female,Hispanic,22050,PhD,0,0
Female,Black,53933,High School,1,0
Female,Hispanic,44951,Bachelors,0,0
Female,Asian,52413,Masters,0,1
Female,Hispanic,54801,High School,0,1
Female,Asian,75619,High School,0,0
Female,Black,52913,High School,0,0
Female,Black,60600,PhD,0,1
Female,Black,77775,Masters,1,0
Female,Black,55400,Masters,0,1
Female,Black,24494,Bachelors,0,0
Male,Asian,94691,Masters,0,0
Male,Asian,63001,Masters,0,0
Female,Black,87364,High School,1,0
Female,Hispanic,65028,Bachelors,1,1
