gender,race,income,education,label_value,model_prediction,score
Male,Black,77134,Masters,1,0,510
Female,Asian,40491,PhD,0,0,343
Male,White,21341,Bachelors,0,1,840
Male,White,64623,Bachelors,0,0,391
Male,White,20338,High School,0,0,564
Female,White,91431,High School,0,1,519
Male,Hispanic,32254,PhD,1,1,741
Male,White,71860,Masters,1,0,700
Male,Hispanic,31344,PhD,1,1,699
Female,Hispanic,21750,PhD,1,1,789
Male,White,74756,PhD,1,0,784
Male,White,87957,PhD,1,0,769
Male,Black,78053,Bachelors,0,1,744
Male,Asian,90855,Masters,0,0,568
Female,White,35896,Bachelors,1,0,566
Male,Black,75761,Masters,1,1,353
Female,Black,82552,High School,0,0,827
Female,Asian,97454,PhD,0,0,819
Female,Hispanic,47935,Bachelors,0,0,358
Male,White,57641,Masters,1,0,339
Female,Asian,49711,High School,1,0,536
Male,White,90342,High School,1,1,685
Female,Black,32182,PhD,0,1,599
Female,Black,76276,Masters,0,0,694
Female,Hispanic,39541,Bachelors,1,1,506
Female,Black,64813,PhD,1,0,635
Female,Black,57198,Bachelors,0,0,813
Female,Asian,28820,High School,0,0,477
Female,White,44070,Bachelors,0,0,695
Female,White,89768,Bachelors,0,0,670
Male,Asian,31122,PhD,1,1,617
Male,Hispanic,93543,Bachelors,0,1,668
Female,White,61786,PhD,0,0,683
Female,Black,26737,High School,0,1,361
Female,White,56062,PhD,1,0,804
Male,Black,74237,PhD,1,1,538
Female,Hispanic,71571,Masters,0,0,494
Male,Asian,45510,Bachelors,0,1,521
Male,White,39426,High School,0,0,360
Male,Asian,57265,PhD,1,0,428
Male,White,37850,High School,1,1,455
Male,Black,86150,Masters,1,1,677
Female,Asian,94910,Bachelors,0,0,736
Female,White,72375,PhD,1,1,506
Female,Black,55435,Bachelors,0,0,687
Female,Asian,77132,Masters,0,1,779
Female,Asian,98945,Masters,0,1,639
Male,White,22983,High School,1,0,639
Female,White,40662,PhD,0,1,503
Female,White,43510,High School,1,1,460
Male,Black,98187,Masters,1,0,839
Female,White,60998,Bachelors,0,1,691
Male,Asian,76846,High School,0,0,833
Female,Asian,26640,High School,1,0,369
